parameter,region,sector,subsector,technology,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
intensity,TX,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,TX,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,TX,trn_pass_road,Bus,BEV,0,0,0,0.00197,0.00181,0.0017,0.00159,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,EJ/billion-service-km
intensity,TX,trn_pass_road,Bus,FCEV,0,0,0,0.00241,0.00226,0.00215,0.00203,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,EJ/billion-service-km
intensity,TX,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00736,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,EJ/billion-service-km
intensity,TX,trn_pass_road,Bus,Liquids,0.0102,0.00951,0.0091,0.00864,0.00864,0.0082,0.00776,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,EJ/billion-service-km
intensity,TX,trn_pass_road,Bus,NG,0.0112,0.0143,0.0119,0.0116,0.0114,0.0111,0.0109,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000421,0.00042,0.000418,0.000417,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV,2W and 3W,Liquids,0.0014,0.00133,0.0013,0.00125,0.00121,0.00117,0.00114,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Car,BEV,0,0,0.000561,0.00055,0.000499,0.000482,0.000464,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.00104,0.00101,0.000989,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0.00182,0.0018,0.00166,0.0016,0.00155,0.00147,0.00139,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Car,Liquids,0.00298,0.00285,0.00242,0.00216,0.002,0.0019,0.0018,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0.000774,0.000767,0.000691,0.000666,0.00064,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.0014,0.00137,0.00134,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00218,0.00208,0.00201,0.00189,0.00178,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,EJ/billion-service-km
intensity,TX,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00407,0.00385,0.00314,0.00284,0.00262,0.00249,0.00237,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,EJ/billion-service-km
intensity,TX,trn_shipping_intl,International Ship,BEV,0,0,0,0,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,EJ/billion-service-km
intensity,TX,trn_shipping_intl,International Ship,FCEV,0,0,0,0,1.37,1.37,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,EJ/billion-service-km
intensity,TX,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1.67,1.66,1.65,1.64,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,EJ/billion-service-km
intensity,TX,trn_shipping_intl,International Ship,Liquids,2.1,2.09,2.08,2.07,2.06,2.05,2.04,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,EJ/billion-service-km
intensity,Taiwan,trn_aviation_intl,International Aviation,BEV,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Taiwan,trn_aviation_intl,International Aviation,Hydrogen,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Taiwan,trn_aviation_intl,International Aviation,Liquids,0.43,0.418,0.37,0.333,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,Taiwan,trn_freight,Domestic Ship,BEV,0,0,0,0,0.166,0.165,0.164,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,EJ/billion-service-km
intensity,Taiwan,trn_freight,Domestic Ship,FCEV,0,0,0,0,0.221,0.22,0.219,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,EJ/billion-service-km
intensity,Taiwan,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0.268,0.267,0.265,0.264,0.263,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
intensity,Taiwan,trn_freight,Domestic Ship,Liquids,0.338,0.336,0.335,0.333,0.332,0.33,0.328,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,0.327,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,BEV,0,0,0,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,Electric,0.65,0.649,0.648,0.647,0.647,0.646,0.645,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,FCEV,0,0,0,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,1.7,1.7,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,EJ/billion-service-km
intensity,Taiwan,trn_freight,Freight Rail,Liquids,2.13,2.13,2.12,2.12,2.12,2.12,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,EJ/billion-service-km
intensity,Taiwan,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Heavy truck,BEV,0,0,0,0.00508,0.00503,0.00497,0.00492,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,0.00486,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Heavy truck,FCEV,0,0,0,0.00782,0.0076,0.00736,0.0071,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,0.00683,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.00922,0.00916,0.0091,0.00905,0.00899,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,0.00893,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Heavy truck,Liquids,0.00999,0.00991,0.00986,0.0098,0.00974,0.00968,0.00962,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,0.00956,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Light truck,BEV,0,0,0,0.00138,0.00136,0.00133,0.00131,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,0.00129,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Light truck,FCEV,0,0,0,0.00205,0.002,0.00196,0.00191,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,0.00187,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00312,0.00298,0.00292,0.00287,0.00283,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Light truck,Liquids,0.00377,0.00372,0.00368,0.00363,0.00359,0.00354,0.0035,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,0.00346,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Medium truck,BEV,0,0,0,0.00255,0.00253,0.00252,0.00251,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Medium truck,FCEV,0,0,0,0.00403,0.00401,0.00399,0.00398,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,0.00396,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.00717,0.00712,0.00708,0.00703,0.00699,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,0.00694,EJ/billion-service-km
intensity,Taiwan,trn_freight_road,Medium truck,Liquids,0.00776,0.0077,0.00767,0.00762,0.00757,0.00752,0.00748,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,0.00743,EJ/billion-service-km
intensity,Taiwan,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,Taiwan,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Taiwan,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Taiwan,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,Taiwan,trn_pass,HSR,Electric,0,0,0.199,0.199,0.199,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,EJ/billion-service-km
intensity,Taiwan,trn_pass,Passenger Rail,Electric,0.16,0.16,0.159,0.159,0.159,0.159,0.159,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,0.158,EJ/billion-service-km
intensity,Taiwan,trn_pass,Passenger Rail,Liquids,0.429,0.428,0.428,0.427,0.427,0.426,0.426,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,EJ/billion-service-km
intensity,Taiwan,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,Taiwan,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Taiwan,trn_pass_road,Bus,BEV,0,0,0,0.00113,0.00104,0.000976,0.00091,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,0.000845,EJ/billion-service-km
intensity,Taiwan,trn_pass_road,Bus,FCEV,0,0,0,0.00139,0.0013,0.00123,0.00117,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,EJ/billion-service-km
intensity,Taiwan,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00423,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,0.00401,EJ/billion-service-km
intensity,Taiwan,trn_pass_road,Bus,Liquids,0.00497,0.00497,0.00497,0.00496,0.00496,0.00496,0.00496,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,0.00495,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000242,0.000238,0.000235,0.000233,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV,2W and 3W,Liquids,0.000817,0.00078,0.000759,0.000732,0.000706,0.000685,0.000663,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,0.000642,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Car,BEV,0,0,0,0.000734,0.000732,0.000729,0.000727,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,0.000724,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.00105,0.00104,0.00102,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0,0,0.00187,0.00182,0.00177,0.00173,0.00169,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,0.00165,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Car,Liquids,0.00257,0.00245,0.00238,0.0023,0.00222,0.00215,0.00208,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,0.00202,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0,0.00116,0.00115,0.00115,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.00157,0.00154,0.00151,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00282,0.00275,0.00268,0.00261,0.00255,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,0.00249,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00387,0.00369,0.00359,0.00347,0.00335,0.00325,0.00314,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,0.00304,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Mini Car,BEV,0,0,0,0.000548,0.000546,0.000544,0.000542,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Mini Car,FCEV,0,0,0,0,0.000788,0.000775,0.000762,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,0,0,0.00137,0.00133,0.0013,0.00127,0.00124,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,EJ/billion-service-km
intensity,Taiwan,trn_pass_road_LDV_4W,Mini Car,Liquids,0.00188,0.00179,0.00174,0.00168,0.00162,0.00157,0.00153,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,0.00148,EJ/billion-service-km
intensity,Taiwan,trn_shipping_intl,International Ship,BEV,0,0,0,0,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,EJ/billion-service-km
intensity,Taiwan,trn_shipping_intl,International Ship,FCEV,0,0,0,0,1.37,1.37,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,EJ/billion-service-km
intensity,Taiwan,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1.67,1.66,1.65,1.64,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,EJ/billion-service-km
intensity,Taiwan,trn_shipping_intl,International Ship,Liquids,2.1,2.09,2.08,2.07,2.06,2.05,2.04,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,EJ/billion-service-km
intensity,UT,trn_aviation_intl,International Aviation,BEV,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,UT,trn_aviation_intl,International Aviation,Hydrogen,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,UT,trn_aviation_intl,International Aviation,Liquids,0.43,0.418,0.37,0.333,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,UT,trn_freight,Domestic Ship,Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,UT,trn_freight,Freight Rail,BEV,0,0,0,0.36,0.359,0.359,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,EJ/billion-service-km
intensity,UT,trn_freight,Freight Rail,FCEV,0,0,0,0.479,0.479,0.478,0.478,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,EJ/billion-service-km
intensity,UT,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.575,0.575,0.574,0.573,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,EJ/billion-service-km
intensity,UT,trn_freight,Freight Rail,Liquids,0.722,0.721,0.72,0.719,0.718,0.717,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,EJ/billion-service-km
intensity,UT,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,UT,trn_freight_road,Heavy truck,BEV,0,0,0,0.00521,0.00496,0.00471,0.00446,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,EJ/billion-service-km
intensity,UT,trn_freight_road,Heavy truck,FCEV,0,0,0,0.00803,0.0075,0.00698,0.00645,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,EJ/billion-service-km
intensity,UT,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.0103,0.0094,0.00899,0.00858,0.00816,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,EJ/billion-service-km
intensity,UT,trn_freight_road,Heavy truck,Liquids,0.0127,0.0125,0.011,0.0101,0.00962,0.00918,0.00873,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,EJ/billion-service-km
intensity,UT,trn_freight_road,Light truck,BEV,0,0,0,0.00108,0.00107,0.00107,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,EJ/billion-service-km
intensity,UT,trn_freight_road,Light truck,FCEV,0,0,0,0.00153,0.00151,0.00148,0.00146,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,EJ/billion-service-km
intensity,UT,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00193,0.00183,0.00182,0.00181,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,EJ/billion-service-km
intensity,UT,trn_freight_road,Light truck,Liquids,0.00369,0.00332,0.0024,0.00239,0.00239,0.0024,0.0024,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,EJ/billion-service-km
intensity,UT,trn_freight_road,Medium truck,BEV,0,0,0,0.00183,0.00176,0.00168,0.00161,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,EJ/billion-service-km
intensity,UT,trn_freight_road,Medium truck,FCEV,0,0,0,0.00289,0.00277,0.00266,0.00254,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,EJ/billion-service-km
intensity,UT,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.00597,0.00555,0.00532,0.00509,0.00487,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,EJ/billion-service-km
intensity,UT,trn_freight_road,Medium truck,Liquids,0.00729,0.00715,0.00639,0.00594,0.0057,0.00545,0.00521,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,EJ/billion-service-km
intensity,UT,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,UT,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,UT,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,UT,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,UT,trn_pass,HSR,Electric,0.264,0.263,0.263,0.263,0.262,0.262,0.262,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
intensity,UT,trn_pass,Passenger Rail,Electric,0.0526,0.0526,0.0525,0.0524,0.0524,0.0523,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,0.0522,EJ/billion-service-km
intensity,UT,trn_pass,Passenger Rail,Liquids,0.117,0.117,0.117,0.117,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,EJ/billion-service-km
intensity,UT,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,UT,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,UT,trn_pass_road,Bus,BEV,0,0,0,0.00197,0.00181,0.0017,0.00159,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,EJ/billion-service-km
intensity,UT,trn_pass_road,Bus,FCEV,0,0,0,0.00241,0.00226,0.00215,0.00203,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,EJ/billion-service-km
intensity,UT,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00736,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,EJ/billion-service-km
intensity,UT,trn_pass_road,Bus,Liquids,0.0102,0.00951,0.0091,0.00864,0.00864,0.0082,0.00776,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,EJ/billion-service-km
intensity,UT,trn_pass_road,Bus,NG,0.0112,0.0143,0.0119,0.0116,0.0114,0.0111,0.0109,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000421,0.00042,0.000418,0.000417,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV,2W and 3W,Liquids,0.0014,0.00133,0.0013,0.00125,0.00121,0.00117,0.00114,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV_4W,Car,BEV,0,0,0.000561,0.00055,0.000499,0.000482,0.000464,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.00104,0.00101,0.000989,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0.00182,0.0018,0.00166,0.0016,0.00155,0.00147,0.00139,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV_4W,Car,Liquids,0.00298,0.00285,0.00242,0.00216,0.002,0.0019,0.0018,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,EJ/billion-service-km
intensity,UT,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0.000774,0.000767,0.000691,0.000666,0.00064,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,EJ/billion-service-km
